"group","status","ncols","cols"
"insulin_fasting","OK",0,""
"insulin_ogtt","OK",0,""
"insulin_adipose","OK",0,""
"insulin_tracer_dxa","OK",0,""
"adiposity_sds","OK",0,""
"adiposity_sds_strat","OK",0,""
"obesity_metrics","OK",11,"weight_kg|BMI_cat|WHR|waist_to_height_ratio|waist_to_BMI_ratio|weight_to_height_ratio|AVI|BAI|ABSI|BRI|CI"
"alm_bmi","OK",2,"alm_bmi_ratio|low_muscle_mass"
"lipid","OK",11,"non_HDL_c|remnant_c|ratio_TC_HDL|ratio_TG_HDL|ratio_LDL_HDL|ApoB_ApoA1|VAI_Men|VAI_Women|LAP_Men|LAP_Women|TyG_BMI"
"atherogenic","OK",3,"AIP|CRI_I|CRI_II"
"cvd_aip","OK",2,"model|value"
"cvd_ldl_particles","OK",2,"model|value"
"cvd_ascvd","OK",0,""
"cvd_qrisk3","OK",0,""
"cvd_scorescvd","OK",0,""
"cvd_stroke","OK",0,""
"liver","OK",7,"FLI|NFS|APRI|FIB4|BARD|ALBI|MELD_XI"
"liver_fat","OK",2,"HSI|NAFLD_LFS"
"glycemic","OK",7,"SPISE|METS_IR|prediabetes|HOMA_CP|LAR|ASI|TyG_index"
"mets","OK",0,""
"metabolic_risk","OK",3,"dyslipidemia|insulin_resistance|hyperglycemia"
"pulmo","OK",13,"fev1_pred|fev1_z|fev1_pctpred|fev1_LLN|fvc_pred|fvc_z|fvc_pctpred|fvc_LLN|fev1_fvc_ratio|fev1_fvc_pred|fev1_fvc_z|fev1_fvc_pctpred|fev1_fvc_LLN"
"spirometry","OK",12,"ratio_pre|ratio_post|copd_flag_fixed|obstruction_lln|fev1_pp|fvc_pp|fev1_z|fvc_z|ratio_z|gold_grade|bdr_fev1|bdr_fvc"
"bode","OK",6,"bode_index|fev1_pct|fev1_score|walk_score|mmrc_score|bmi_score"
"saliva","OK",0,""
"sweat","OK",2,"Na_K_ratio|sweat_rate"
"urine","OK",11,"albuminuria_stage|microalbuminuria|UPCR|U_Na_K_ratio|NGAL_per_gCr|KIM1_per_gCr|NAG_per_gCr|Beta2Micro_per_gCr|A1Micro_per_gCr|IL18_per_gCr|L_FABP_per_gCr"
"renal","OK",6,"eGFR_cr|eGFR_cys|eGFR_combined|BUN_Cr_ratio|FE_Urea|Beta2Micro"
"kidney_kfre","OK",2,"KFRE_2yr|KFRE_5yr"
"ckd_stage","OK",3,"CKD_stage|Albuminuria_stage|KDIGO_risk"
"nutrient","OK",10,"FerritinTS|AGR|Omega3Index|Mg_Cr_Ratio|GlycatedAlbuminPct|UA_Cr_Ratio|BUN_Cr_Ratio|Ca_x_Phosphate|AnionGap|Tyr_Phe_Ratio"
"vitamin","OK",0,""
"hormone","OK",7,"FAI|E2_T|T3_T4|TSH_fT4|ARR|GH_IGF1|CAR_slope"
"inflammatory","OK",11,"NLR|PLR|LMR|NER|SII|SIRI|PIV|CLR|CAR|PCR|mGPS"
"bone","OK",0,""
"frax","OK",5,"frax_major_percent|frax_hip_percent|frax_sex_norm|frax_age_used|frax_bmd_tscore"
"allostatic_load","OK",0,""
"oxidative","OK",1,"GSH_GSSG_Ratio"
"frailty_index","OK",0,""
"charlson","OK",1,"charlson_index"
"sarc_f","OK",2,"sarc_f_score|sarc_f_high_risk"
"psych","OK",0,""
"nfl","OK",1,"nfl_value"
"iAge","OK",1,"iAge"
"vitamin_d_status","OK",1,"vitamin_d_status"
"calcium_corrected","OK",0,""
"kyn_trp","OK",0,""
